,x
1,FBgn0001224
2,FBgn0001225
3,FBgn0001226
4,FBgn0004512
5,FBgn0022774
6,FBgn0033268
7,FBgn0035397
8,FBgn0035797
9,FBgn0035998
10,FBgn0038337
11,FBgn0084049
12,FBgn0085638
13,FBgn0260995
14,FBgn0261705
15,FBgn0263780
16,FBgn0264438
17,FBgn0264835
18,FBgn0265814
19,FBgn0267027
20,FBgn0284435
