"","ensembl","p.value"
"137","FBgn0039532",0.00282730965216909
"138","FBgn0015037",0.00283276691844915
"139","FBgn0085261",0.0028590781126501
"140","FBgn0034126",0.00286409204011369
"141","FBgn0039017",0.00286851413768325
"142","FBgn0000244",0.00287630203362268
"143","FBgn0036198",0.00291010472508431
"144","FBgn0010412",0.00291879828973717
"145","FBgn0002525",0.002941873099682
"146","FBgn0003328",0.00296429423062074
"147","FBgn0003257",0.00306587101408978
"148","FBgn0032770",0.00317677045856852
"149","FBgn0033821",0.00317881231216908
"150","FBgn0033945",0.00319726648492763
"151","FBgn0002948",0.00321890182642548
"152","FBgn0015521",0.0033304608691655
"153","FBgn0038660",0.00335191358082671
"154","FBgn0035193",0.00335222189736981
"155","FBgn0030246",0.00335633456626142
"156","FBgn0010238",0.00338108853250591
"157","FBgn0003965",0.00338703967239836
"158","FBgn0050197",0.00341202657460401
"159","FBgn0037248",0.00343810128513734
"160","FBgn0064237",0.00345284282792815
"161","FBgn0019936",0.00368106665753945
"162","FBgn0038299",0.00369025415633895
"163","FBgn0039359",0.00375464414090945
"164","FBgn0010411",0.00382248128380438
"165","FBgn0033402",0.00383570067605741
"166","FBgn0052103",0.0038973208662629
"167","FBgn0039233",0.00392943061730173
"168","FBgn0031560",0.00411767087108449
"169","FBgn0032961",0.0041214359957439
"170","FBgn0086710",0.00413672618687662
"171","FBgn0040368",0.00414688117745326
"172","FBgn0030912",0.00418455791404932
"173","FBgn0261067",0.00419293616354485
"174","FBgn0052791",0.00421929041868939
"175","FBgn0262954",0.00422895426012731
"176","FBgn0038951",0.00428212290518029
"177","FBgn0038470",0.00429870875727611
"178","FBgn0035089",0.00430306976929399
"179","FBgn0052191",0.00432207985680444
"180","FBgn0262610",0.00444799999834079
"181","FBgn0028988",0.00445547228573141
"182","FBgn0031117",0.00459042335385254
"183","FBgn0001967",0.00462304560779751
"184","FBgn0031957",0.00465017319834537
"185","FBgn0032472",0.00468563316375295
"186","FBgn0010041",0.00469995869907072
"187","FBgn0261606",0.00472508794255802
"188","FBgn0037328",0.00476636610552406
"189","FBgn0036290",0.00483747133063933
"190","FBgn0005666",0.00489583477676832
"191","FBgn0032772",0.00502618101987397
"192","FBgn0052066",0.00502650658175213
"193","FBgn0031489",0.00504259122059249
"194","FBgn0259209",0.00505576451232423
"195","FBgn0004117",0.00506920613769492
"196","FBgn0261593",0.00510779018284597
"197","FBgn0085354",0.00514877155049403
"198","FBgn0033289",0.0051559922568145
"199","FBgn0022936",0.00521241839346198
"200","FBgn0027329",0.00523733511174755
"201","FBgn0029831",0.00526597117286492
"202","FBgn0010621",0.00529277059931988
"203","FBgn0013771",0.00535573926365202
"204","FBgn0036126",0.00537359467760351
"205","FBgn0027584",0.00551103929612745
"206","FBgn0027348",0.00552267603347221
"207","FBgn0000278",0.005564478412243
"208","FBgn0031937",0.0056644179993022
"209","FBgn0036876",0.00574894617887539
"210","FBgn0035583",0.00586302976594352
"211","FBgn0037973",0.00590010341953822
"212","FBgn0030870",0.00603474631118191
"213","FBgn0005655",0.00617500759188732
"214","FBgn0034511",0.00626584040351961
"215","FBgn0038733",0.00646975171113915
"216","FBgn0030484",0.00649717030698283
"217","FBgn0030086",0.00651994759230779
"218","FBgn0030244",0.00655830853334174
"219","FBgn0000721",0.0065815297602977
"220","FBgn0082598",0.00659690872016628
"221","FBgn0034468",0.00661422014605139
"222","FBgn0266719",0.00670043324506317
"223","FBgn0034512",0.00676584562145791
"224","FBgn0016684",0.00676677097535826
"225","FBgn0029508",0.00677218576546098
"226","FBgn0036449",0.00677383412520479
"227","FBgn0036277",0.00678209941459712
"228","FBgn0010388",0.00682528079353893
"229","FBgn0015756",0.0068376689206707
"230","FBgn0032456",0.00689848484435033
"231","FBgn0000308",0.00693057186406012
"232","FBgn0002069",0.00698918092379749
"233","FBgn0041180",0.00700310717155231
"234","FBgn0031389",0.00702460008479347
"235","FBgn0029762",0.00708364982859088
"236","FBgn0031145",0.00709582323897985
"237","FBgn0046763",0.00716417575877074
"238","FBgn0033174",0.00731958169125554
"239","FBgn0034330",0.00741023003378534
"240","FBgn0028936",0.00757216507975763
