Sample,seq.batch,batch,Library
JKLY1124 Pcl[4]/Pcl[5],JKL1 A,A,JKL1
JKLY1125 w[1118],JKL2 A,A,JKL2
JKLY1126 Pcl[4]/Pcl[5],JKL3 A,A,JKL3
JKLY1127 w[1118],JKL4 A,A,JKL4
JKLY1128 Pcl[4]/Pcl[5],JKL5 A,A,JKL5
JKLY1129 w[1118],JKL6 A,A,JKL6
JKLY1124 Pcl[4]/Pcl[5],JKL1 B,B,JKL1
JKLY1125 w[1118],JKL2 B,B,JKL2
JKLY1126 Pcl[4]/Pcl[5],JKL3 B,B,JKL3
JKLY1127 w[1118],JKL4 B,B,JKL4
JKLY1128 Pcl[4]/Pcl[5],JKL5 B,B,JKL5
JKLY1129 w[1118],JKL6 B,B,JKL6
