"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez","geneSymbol","cg"
"FBgn0265857",0.730247506291883,0.038553433222319,0.064506908079026,0.597663635886687,0.550064393963317,NA,"FBgn0265857",NA,"CR44646","CR44646"
"FBgn0265858",0.0447494959089739,-0.00293660081164356,0.0303645839326116,-0.0967113798812718,0.922955602358474,NA,"FBgn0265858",NA,"CR44647","CR44647"
"FBgn0265859",0,NA,NA,NA,NA,NA,"FBgn0265859",NA,"CR44648","CR44648"
"FBgn0265860",0.0463731090906735,0.00323483801994542,0.0303645839326116,0.106533256873354,0.915159270368862,NA,"FBgn0265860",NA,"CR44649","CR44649"
"FBgn0265861",0.109640324095759,0.00678871870040278,0.0303645839326116,0.223573578859801,0.823089124286904,NA,"FBgn0265861",NA,"CR44650","CR44650"
"FBgn0265862",1.2148073470056,-0.0257262080275195,0.0895638828082484,-0.287238641524709,0.77392960069152,0.912473737314568,"FBgn0265862",NA,"CR44651","CR44651"
"FBgn0265863",0.255079088296035,0.0207251957638546,0.0408607303808189,0.507215499348578,0.612003620999532,NA,"FBgn0265863",NA,"CR44652","CR44652"
"FBgn0265864",0.553403500036653,-0.016058262619704,0.0680907651378268,-0.235836131187532,0.813559830177991,NA,"FBgn0265864",NA,"CR44653","CR44653"
"FBgn0265865",0.368118880367078,9.71691274612478e-05,0.0616435378877508,0.00157630679209534,0.998742289668346,NA,"FBgn0265865",NA,"CR44654","CR44654"
"FBgn0265866",1.17545333355644,-0.0409124423440959,0.0930987819794689,-0.439451961392131,0.660334082955785,0.85645434767795,"FBgn0265866",NA,"CR44655","CR44655"
"FBgn0265868",4.68729899403634,-0.0262567664950102,0.142135138312416,-0.184731001825159,0.853440028711401,0.945676642344072,"FBgn0265868",NA,"CR44657","CR44657"
"FBgn0265869",0.405176967627968,0.0105358370090954,0.0512021229963095,0.205769534397134,0.836970939954245,NA,"FBgn0265869",NA,"CR44658","CR44658"
"FBgn0265870",0.0477214918981331,-0.00294465996536758,0.0303645839326116,-0.0969767928288659,0.922744824207781,NA,"FBgn0265870",NA,"CR44659","CR44659"
"FBgn0265871",3.03602787307299,-0.108107314134172,0.124415261200672,-0.86892325821511,0.384889107181306,0.657008157481466,"FBgn0265871",NA,"CR44660","CR44660"
"FBgn0265872",1.60202550702579,-0.0433779262300294,0.111850039525865,-0.387822180608156,0.698147629984584,0.876363301338962,"FBgn0265872",NA,"CR44661","CR44661"
"FBgn0265873",608.835698992088,-0.0790074999481162,0.102904576543086,-0.767774404232021,0.442621223522715,0.70590355027012,"FBgn0265873",NA,"CR44662","CR44662"
"FBgn0265874",8.77740909744708,0.344602086950468,0.150758310917453,2.28579164129236,0.0222664509244054,0.097652368194973,"FBgn0265874",NA,"CR44663","CR44663"
"FBgn0265875",0,NA,NA,NA,NA,NA,"FBgn0265875",NA,"CR44664","CR44664"
"FBgn0265876",0.157118871718664,-0.00199221912859383,0.0303645839326116,-0.0656099597154101,0.947688359494903,NA,"FBgn0265876",NA,"CR44665","CR44665"
"FBgn0265877",0.271216389080022,0.0174745382029469,0.0303645839326116,0.575490783661924,0.564959421980512,NA,"FBgn0265877",NA,"CR44666","CR44666"
"FBgn0265878",0.0456313670898562,0.00323483801994542,0.0303645839326116,0.106533256873354,0.915159270368862,NA,"FBgn0265878",NA,"CR44667","CR44667"
"FBgn0265879",0.0569491380155337,-0.00294465996536758,0.0303645839326116,-0.0969767928288657,0.922744824207781,NA,"FBgn0265879",NA,"CR44668","CR44668"
"FBgn0265880",0,NA,NA,NA,NA,NA,"FBgn0265880",NA,"CR44669","CR44669"
"FBgn0265881",2.93472140719221,-0.363902724215871,0.125758004543172,-2.89367444671043,0.00380762716829394,0.0237731570971013,"FBgn0265881",NA,"CR44670","CR44670"
"FBgn0265882",2.33092546587774,-0.122247772959753,0.113495180820157,-1.07711862368382,0.281427273932597,0.559045348540293,"FBgn0265882",NA,"CR44671","CR44671"
"FBgn0265883",0.382969441864899,0.000490958056907976,0.0433510357938819,0.0113251747718855,0.990964011060228,NA,"FBgn0265883",NA,"CR44672","CR44672"
"FBgn0265884",0.532646939985198,-0.00835017641197027,0.0718858554640261,-0.116158823708357,0.907526669701938,NA,"FBgn0265884",NA,"CR44673","CR44673"
"FBgn0265885",0,NA,NA,NA,NA,NA,"FBgn0265885",NA,"CR44674","CR44674"
"FBgn0265886",0.0447494959089739,-0.00293660081164356,0.0303645839326116,-0.0967113798812718,0.922955602358474,NA,"FBgn0265886",NA,"CR44675","CR44675"
"FBgn0265887",1.61728108569851,0.178089878149105,0.112894942089926,1.57748323221821,0.11468437732371,0.324274576307522,"FBgn0265887",NA,"CR44676","CR44676"
"FBgn0265888",0.217926617713664,0.00911426356580024,0.0329186184292465,0.276872602821711,0.781877930285951,NA,"FBgn0265888",NA,"CR44677","CR44677"
"FBgn0265889",0.148449259561756,-0.00197610082114579,0.0303645839326116,-0.0650791338202221,0.9481109940067,NA,"FBgn0265889",NA,"CR44678","CR44678"
"FBgn0265890",2.34134824918831,-0.0897942402119187,0.116090944448291,-0.773481864917681,0.439237257346712,0.702962080821792,"FBgn0265890",NA,"CR44679","CR44679"
"FBgn0265891",0,NA,NA,NA,NA,NA,"FBgn0265891",NA,"CR44680","CR44680"
"FBgn0265892",0,NA,NA,NA,NA,NA,"FBgn0265892",NA,"CR44681","CR44681"
"FBgn0265893",0,NA,NA,NA,NA,NA,"FBgn0265893",NA,"CR44682","CR44682"
"FBgn0265894",0.0477214918981331,-0.00294465996536758,0.0303645839326116,-0.0969767928288659,0.922744824207781,NA,"FBgn0265894",NA,"CR44683","CR44683"
"FBgn0265895",0,NA,NA,NA,NA,NA,"FBgn0265895",NA,"CR44684","CR44684"
"FBgn0265896",0,NA,NA,NA,NA,NA,"FBgn0265896",NA,"CR44685","CR44685"
"FBgn0265897",0,NA,NA,NA,NA,NA,"FBgn0265897",NA,"CR44686","CR44686"
"FBgn0265898",0,NA,NA,NA,NA,NA,"FBgn0265898",NA,"CR44687","CR44687"
"FBgn0265899",0.807425184888643,-0.0126844595406726,0.085542791466653,-0.14828203900287,0.882120189456369,0.957631711258958,"FBgn0265899",NA,"CR44688","CR44688"
"FBgn0265900",0,NA,NA,NA,NA,NA,"FBgn0265900",NA,"CR44689","CR44689"
"FBgn0265901",695.438900536117,-0.142224339987749,0.0565540832445191,-2.51483768860372,0.0119087195400812,0.0601929866708165,"FBgn0265901",NA,"CR44690","CR44690"
"FBgn0265902",0,NA,NA,NA,NA,NA,"FBgn0265902",NA,"CR44691","CR44691"
"FBgn0265903",0.0534431525355856,0.00322677886622142,0.0303645839326116,0.10626784392576,0.915369843921712,NA,"FBgn0265903",NA,"CR44692","CR44692"
"FBgn0265904",0.209362660881716,-0.00754364306768668,0.0391447540812559,-0.192711469128858,0.847184940758989,NA,"FBgn0265904",NA,"CR44693","CR44693"
"FBgn0265905",0,NA,NA,NA,NA,NA,"FBgn0265905",NA,"CR44694","CR44694"
"FBgn0265906",0.0534431525355856,0.00322677886622142,0.0303645839326116,0.10626784392576,0.915369843921712,NA,"FBgn0265906",NA,"CR44695","CR44695"
"FBgn0265907",0.163518848469502,0.00432557831036269,0.0306595053622114,0.141084412786844,0.887803257272964,NA,"FBgn0265907",NA,"CR44696","CR44696"
"FBgn0265908",0,NA,NA,NA,NA,NA,"FBgn0265908",NA,"CR44697","CR44697"
"FBgn0265909",0.150398585978831,0.00418727885671919,0.0303645839326116,0.13790008998681,0.890319379289108,NA,"FBgn0265909",NA,"CR44698","CR44698"
"FBgn0265910",0.0565846717347008,-0.00293660081164357,0.0303645839326116,-0.0967113798812721,0.922955602358474,NA,"FBgn0265910",NA,"CR44699","CR44699"
"FBgn0265911",0.0451270124555493,-0.00293660081164356,0.0303645839326116,-0.0967113798812719,0.922955602358474,NA,"FBgn0265911",NA,"CR44700","CR44700"
"FBgn0265912",1.38130167991462,0.0397722289255548,0.0944579685864038,0.42105742396073,0.673713150346086,0.865366889497197,"FBgn0265912",NA,"CR44701","CR44701"
"FBgn0265913",12.3086759514229,-0.0985466222535523,0.151426266524566,-0.650789486628234,0.515182387772168,0.761257158870344,"FBgn0265913",NA,"CR44702","CR44702"
"FBgn0265914",0.263873853508302,-0.0182931743476971,0.048046504021446,-0.380738926177267,0.703396981568551,NA,"FBgn0265914",NA,"CR44703","CR44703"
"FBgn0265915",2.88314702448422,-0.0177750166743982,0.12790868724157,-0.138966453786115,0.889476657787873,0.959444565839,"FBgn0265915",NA,"CR44704","CR44704"
"FBgn0265916",0.149914630856533,-0.00199221912859382,0.0303645839326116,-0.0656099597154096,0.947688359494904,NA,"FBgn0265916",NA,"CR44705","CR44705"
"FBgn0265917",0.614936249480342,0.0587542026548363,0.0750726979154845,0.782630760399482,0.433843972580759,NA,"FBgn0265917",NA,"CR44706","CR44706"
"FBgn0265918",0.220103520204203,0.0028732395770026,0.0396881446310122,0.0723954118721252,0.94228723601136,NA,"FBgn0265918",NA,"CR44707","CR44707"
"FBgn0265919",12.419950554803,0.28375083840053,0.151075585038694,1.87820446518777,0.0603531995653481,0.20627508850613,"FBgn0265919",NA,"CR44708","CR44708"
"FBgn0265920",0.0498151295197756,-0.00294465996536758,0.0303645839326116,-0.0969767928288657,0.922744824207781,NA,"FBgn0265920",NA,"CR44709","CR44709"
"FBgn0265921",1.45895188279849,0.0877239816803899,0.103683108416407,0.846077852219448,0.397509315154407,0.66773332023757,"FBgn0265921",NA,"CR44710","CR44710"
"FBgn0265922",0.103569933899738,0.000617279868813807,0.0303645839326116,0.0203289421051757,0.983780968093287,NA,"FBgn0265922",NA,"CR44711","CR44711"
"FBgn0265923",0.172873668641796,-0.00203962762162365,0.0311458558360295,-0.0654863244844345,0.947786794443722,NA,"FBgn0265923",NA,"CR44712","CR44712"
"FBgn0265924",1.09962616086794,0.0740412432113829,0.0927549348381638,0.798245865199172,0.424727826149294,0.691086248094727,"FBgn0265924",NA,"CR44713","CR44713"
"FBgn0265925",0.67147649951081,0.079960884308654,0.0806276267505899,0.99173059571754,0.321328961860627,NA,"FBgn0265925",NA,"CR44714","CR44714"
"FBgn0265926",2.38008117701566,0.135898034848163,0.122899817736849,1.10576270453994,0.268829241537402,0.545093007385159,"FBgn0265926",NA,"CR44715","CR44715"
"FBgn0265927",36.282317428759,0.218816020015138,0.138432652707555,1.58066768017078,0.113954041941805,0.323054417786204,"FBgn0265927",NA,"CR44716","CR44716"
"FBgn0265928",2.00992477896443,-0.100259709642612,0.120225895931751,-0.833927739657077,0.404321704534335,0.673127168213317,"FBgn0265928",NA,"CR44717","CR44717"
"FBgn0265929",91.7213172040126,0.211713237892828,0.104328850320956,2.02928755796231,0.0424290098400072,0.159763235585708,"FBgn0265929",NA,"CR44718","CR44718"
"FBgn0265930",3.82302090623194,0.257859268650792,0.131958601477797,1.95409216044305,0.0506903190542671,0.181133406753915,"FBgn0265930",NA,"CR44719","CR44719"
"FBgn0265931",4.75600464678041,-0.21470947378029,0.141708716153796,-1.51514655984369,0.129735292910775,0.352300599280663,"FBgn0265931",NA,"CR44720","CR44720"
"FBgn0265932",0,NA,NA,NA,NA,NA,"FBgn0265932",NA,"CR44721","CR44721"
"FBgn0265933",0,NA,NA,NA,NA,NA,"FBgn0265933",NA,"CR44722","CR44722"
"FBgn0265934",0,NA,NA,NA,NA,NA,"FBgn0265934",NA,"CR44723","CR44723"
"FBgn0265935",1170.17595995165,0.0161143068460412,0.0451212199797716,0.357133669108802,0.72099173996259,0.887330155761088,"FBgn0265935",35596,"coro","CG9446"
"FBgn0265937",3.03061045346254,0.0750154881952218,0.126985077089721,0.590742549553439,0.55469293376315,0.788039046915657,"FBgn0265937",NA,"CR44724","CR44724"
"FBgn0265938",0.414215909798082,-0.0239764489480935,0.0495186349649186,-0.484190425787777,0.628250731035724,NA,"FBgn0265938",NA,"CR44725","CR44725"
"FBgn0265939",0.165778988334096,-0.00193649660143483,0.0307882837208394,-0.0628971922888995,0.949848370648539,NA,"FBgn0265939",NA,"CR44726","CR44726"
"FBgn0265940",4.26152562342705,-0.115558819729457,0.14129523798088,-0.817853604840489,0.413440784979267,0.681676875381089,"FBgn0265940",NA,"CR44727","CR44727"
"FBgn0265941",3.41212141464225,0.0144042003580668,0.129015449245187,0.111647096858086,0.911103227546281,0.966862487664319,"FBgn0265941",NA,"CR44728","CR44728"
"FBgn0265942",0.0447494959089739,-0.00293660081164356,0.0303645839326116,-0.0967113798812718,0.922955602358474,NA,"FBgn0265942",NA,"CR44729","CR44729"
"FBgn0265943",0,NA,NA,NA,NA,NA,"FBgn0265943",NA,"CR44730","CR44730"
"FBgn0265944",0.764063066385751,0.0514037459984388,0.0835132558656976,0.615516009591389,0.538213999825398,NA,"FBgn0265944",NA,"CR44731","CR44731"
"FBgn0265945",0.721655794887668,-0.0488953099958351,0.0812901653139527,-0.601491088214611,0.547512945702985,NA,"FBgn0265945",NA,"CR44732","CR44732"
"FBgn0265946",0.385184975135537,0.0165159771023855,0.0498813867902391,0.331105010609236,0.740565166991843,NA,"FBgn0265946",NA,"CR44733","CR44733"
"FBgn0265947",0,NA,NA,NA,NA,NA,"FBgn0265947",NA,"CR44734","CR44734"
"FBgn0265948",0,NA,NA,NA,NA,NA,"FBgn0265948",NA,"CR44735","CR44735"
"FBgn0265949",0.107146622057159,-0.00549256867878346,0.0303645839326116,-0.180887335422516,0.856456009739529,NA,"FBgn0265949",NA,"CR44736","CR44736"
"FBgn0265950",0.388222081493684,0.00133754459830635,0.0567675024170126,0.0235618010544269,0.981202142028397,NA,"FBgn0265950",NA,"CR44737","CR44737"
"FBgn0265951",17.4822271937406,-0.314058354440429,0.145968306600911,-2.15155167415273,0.0314326817816263,0.127930703533803,"FBgn0265951",NA,"CR44738","CR44738"
"FBgn0265952",0.148696946355287,-0.00198415997486981,0.0303645839326116,-0.0653445467678159,0.947899674918334,NA,"FBgn0265952",NA,"CR44739","CR44739"
"FBgn0265953",8.71426568766708,0.124594537460118,0.147454898397326,0.844967097155298,0.398129209966742,0.668332327329021,"FBgn0265953",NA,"CR44740","CR44740"
"FBgn0265954",8.32184043254086,-0.0858236869350538,0.149985582784005,-0.572212911014581,0.567177741652099,0.796820905387983,"FBgn0265954",NA,"CR44741","CR44741"
"FBgn0265955",0.30354141897525,-0.0421158035019758,0.0486336691109276,-0.865980385027391,0.386500918526116,NA,"FBgn0265955",NA,"CR44742","CR44742"
"FBgn0265956",0.367269288355303,-0.0124680800253655,0.0424433436692848,-0.293758194983784,0.768942681882006,NA,"FBgn0265956",NA,"CR44743","CR44743"
"FBgn0265957",3.29875476992889,-0.158141212853741,0.127326721395405,-1.24201119074325,0.214232433166782,0.478625849235246,"FBgn0265957",NA,"CR44744","CR44744"
"FBgn0265958",0,NA,NA,NA,NA,NA,"FBgn0265958",NA,"CR44745","CR44745"
"FBgn0265959",3897.8761036709,-0.317418780166797,0.0594433683884154,-5.33985184171792,9.30225710686858e-08,1.73492020595274e-06,"FBgn0265959",40224,"rdgC","CG44746"
"FBgn0265960",0,NA,NA,NA,NA,NA,"FBgn0265960",NA,"CR44747","CR44747"
"FBgn0265961",10.3317903115128,0.0658789513480018,0.151406097141171,0.435114256241453,0.663479495939135,0.858072119234164,"FBgn0265961",NA,"CR44748","CR44748"
"FBgn0265962",27.421415370225,-0.140237610712227,0.133168929406931,-1.05308055968293,0.292304071833803,0.57055321868745,"FBgn0265962",NA,"CR44749","CR44749"
"FBgn0265963",0.110392290551119,0.000617279868813803,0.0303645839326116,0.0203289421051755,0.983780968093287,NA,"FBgn0265963",NA,"CR44750","CR44750"
"FBgn0265964",0,NA,NA,NA,NA,NA,"FBgn0265964",NA,"CR44751","CR44751"
"FBgn0265965",0,NA,NA,NA,NA,NA,"FBgn0265965",NA,"CR44752","CR44752"
